cie_code,cie_name
C254,TUMOR MALIGNO DEL PÁNCREAS ENDOCRINO
C257,TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DEL PÁNCREAS
C258,LESIÓN DE SITIOS CONTIGUOS DEL PÁNCREAS
C259,"TUMOR MALIGNO DEL PÁNCREAS, PARTE NO ESPECIFICADA"
C26,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS MAL DEFINIDOS DE LOS ÓRGANOS DIGESTIVOS
C260,"TUMOR MALIGNO DEL INTESTINO, PARTE NO ESPECIFICADA"
C261,TUMOR MALIGNO DEL BAZO
C268,LESIÓN DE SITIOS CONTIGUOS DE LOS ÓRGANOS DIGESTIVOS
C269,TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DE LOS ÓRGANOS DIGESTIVOS
C30,TUMOR MALIGNO DE LAS FOSAS NASALES Y DEL OÍDO MEDIO
C300,TUMOR MALIGNO DE LA FOSA NASAL
C301,TUMOR MALIGNO DEL OÍDO MEDIO
C31,TUMOR MALIGNO DE LOS SENOS PARANASALES
C310,TUMOR MALIGNO DEL SENO MAXILAR
C311,TUMOR MALIGNO DEL SENO ETMOIDAL
C312,TUMOR MALIGNO DEL SENO FRONTAL
C313,TUMOR MALIGNO DEL SENO ESFENOIDAL
C318,LESIÓN DE SITIOS CONTIGUOS DE LOS SENOS PARANASALES
C319,TUMOR MALIGNO DE SENO PARANASAL NO ESPECIFICADO
C32,TUMOR MALIGNO DE LA LARINGE
C320,TUMOR MALIGNO DE LA GLOTIS
C321,TUMOR MALIGNO DE LA REGIÓN SUPRAGLÓTICA
C322,TUMOR MALIGNO DE LA REGIÓN SUBGLÓTICA
C323,TUMOR MALIGNO DEL CARTÍLAGO LARÍNGEO
C328,LESIÓN DE SITIOS CONTIGUOS DE LA LARINGE
C329,"TUMOR MALIGNO DE LA LARINGE, PARTE NO ESPECIFICADA"
C33X,TUMOR MALIGNO DE LA TRÁQUEA
C34,TUMOR MALIGNO DE LOS BRONQUIOS Y DEL PULMÓN
C340,TUMOR MALIGNO DEL BRONQUIO PRINCIPAL
C341,"TUMOR MALIGNO DEL LÓBULO SUPERIOR, BRONQUIO O PULMÓN"
C342,"TUMOR MALIGNO DEL LÓBULO MEDIO, BRONQUIO O PULMÓN"
C343,"TUMOR MALIGNO DEL LÓBULO INFERIOR, BRONQUIO O PULMÓN"
C348,LESIÓN DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMÓN
C349,"TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMÓN, PARTE NO ESPECIFICADA"
C37X,TUMOR MALIGNO DEL TIMO
C38,"TUMOR MALIGNO DEL CORAZÓN, DEL MEDIASTINO Y DE LA PLEURA"
C380,TUMOR MALIGNO DEL CORAZÓN
C381,TUMOR MALIGNO DEL MEDIASTINO ANTERIOR
C382,TUMOR MALIGNO DEL MEDIASTINO POSTERIOR
C383,"TUMOR MALIGNO DEL MEDIASTINO, PARTE NO ESPECIFICADA"
C384,TUMOR MALIGNO DE LA PLEURA
C388,"LESIÓN DE SITOS CONTIGUOS DEL CORAZÓN, DEL MEDIASTINO Y DE LA PLEURA"
C39,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS MAL DEFINIDOS DEL SISTEMA RESPIRATORIO Y DE LOS ÓRGANOS INTRATORÁCICOS
C390,"TUMOR MALIGNO DE LA VÍAS RESPIRATORIA SUPERIORES, PARTE NO ESPECIFICADA"
C398,LESIÓN DE SITIOS CONTIGUOS DE LOS ÓRGANOS RESPIRATORIOS E INTRATORÁCICOS
C399,TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DEL SISTEMA RESPIRATORIO
C40,TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTÍLAGOS ARTICULARES DE LOS MIEMBROS
C400,TUMOR MALIGNO DEL OMÓPLATO Y DE LOS HUESOS LARGOS DEL MIEMBRO SUPERIOR
C401,TUMOR MALIGNO DE LOS HUESOS CORTOS DEL MIEMBRO SUPERIOR
C402,TUMOR MALIGNO DE LOS HUESOS LARGOS DEL MIEMBRO INFERIOR
C403,TUMOR MALIGNO DE LOS HUESOS CORTOS DEL MIEMBRO INFERIOR
C408,LESIÓN DE SITIOS CONTIGUOS DE LOS HUESOS Y DE LOS CARTÍLAGOS ARTICULARES DE LOS MIEMBROS
C409,"TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTÍLAGOS ARTICULARES DE LOS MIEMBROS, SIN OTRA ESPECIFICACIÓN"
C41,"TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTÍLAGOS ARTICULARES, DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS"
C410,TUMOR MALIGNO DE LOS HUESOS DEL CRÁNEO Y DE LA CARA
C411,TUMOR MALIGNO DEL HUESO DEL MAXILAR INFERIOR
C412,TUMOR MALIGNO DE LA COLUMNA VERTEBRAL
C413,"TUMOR MALIGNO DE LA COSTILLA, ESTERNÓN Y CLAVÍCULA"
C414,"TUMOR MALIGNO DE LOS HUESOS DE LA PELVIS, SACRO Y CÓCCIX"
C418,LESIÓN DE SITIOS CONTIGUOS DEL HUESO Y DEL CARTÍLAGO ARTICULAR
C419,"TUMOR MALIGNO DEL HUESO Y DEL CARTÍLAGO ARTICULAR, NO ESPECIFICADO"
C43,MELANOMA MALIGNO DE LA PIEL
C430,MELANOMA MALIGNO DEL LABIO
C431,"MELANOMA MALIGNO DEL PÁRPADO, INCLUIDA LA COMISURA PALPEBRAL"
C432,MELANOMA MALIGNO DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO
C433,MELANOMA MALIGNO DE LAS OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA CARA
C434,MELANOMA MALIGNO DEL CUERO CABELLUDO Y DEL CUELLO
C435,MELANOMA MALIGNO DEL TRONCO
C436,"MELANOMA MALIGNO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO"
C437,"MELANOMA MALIGNO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA"
C438,MELANOMA MALIGNO DE SITIOS CONTIGUOS DE LA PIEL
C439,"MELANOMA MALIGNO DE PIEL, SITIO NO ESPECIFICADO"
C44,OTROS TUMORES MALIGNOS DE LA PIEL
C440,TUMOR MALIGNO DE LA PIEL DEL LABIO
C441,"TUMOR MALIGNO DE LA PIEL DEL PÁRPADO, INCLUIDA LA COMISURA PALPEBRAL"
C442,TUMOR MALIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO
C443,TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA
C444,TUMOR MALIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO
C445,TUMOR MALIGNO DE LA PIEL DEL TRONCO
C446,"TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO"
C447,"TUMOR MALIGNO DE LA PIEL MIEMBRO INFERIOR, INCLUIDA LA CADERA"
C448,LESIÓN DE SITIOS CONTIGUOS DE LA PIEL
C449,"TUMOR MALIGNO DE LA PIEL, SITIO NO ESPECIFICADO"
C45,MESOTELIOMA
C450,MESOTELIOMA DE LA PLEURA
C451,MESOTELIOMA DEL PERITONEO
C452,MESOTELIOMA DEL PERICARDIO
C457,MESOTELIOMA DE OTROS SITIOS ESPECIFICADOS
C459,"MESOTELIOMA, DE SITIO NO ESPECIFICADO"
C46,SARCOMA DE KAPOSI
C460,SARCOMA DE KAPOSI DE LA PIEL
C461,SARCOMA DE KAPOSI DEL TEJIDO BLANDO
C462,SARCOMA DE KAPOSI DEL PALADAR
C463,SARCOMA DE KAPOSI DE LOS GANGLIOS LINFÁTICOS
C467,SARCOMA DE KAPOSI DE OTROS SITIOS ESPECIFICADOS
C468,SARCOMA DE KAPOSI DE MÚLTIPLES ÓRGANOS
C469,SARCOMA DE KAPOSI DE SITIO NO ESPECIFICADO
C47,TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS Y DEL SISTEMA NERVIOSO AUTÓNOMO
C470,"TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DE LA CABEZA, CARA Y CUELLO"
C471,"TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO"
C472,"TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA"
C473,TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DEL TÓRAX
C474,TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DEL ABDOMEN
C475,TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DE LA PELVIS
C476,"TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DEL TRONCO, SIN OTRA ESPECIFICACIÓN"
C478,LESIÓN DE SITIOS CONTIGUOS DE LOS NERVIOS PERIFÉRICOS Y DEL SISTEMA NERVIOSO AUTÓNOMO
C479,"TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS Y DEL SISTEMA NERVIOSO AUTÓNOMO, PARTE NO ESPECIFICADA"
C48,TUMOR MALIGNO DEL PERITONEO Y DEL RETROPERITONEO
C480,TUMOR MALIGNO DEL RETROPERITONEO
C481,TUMOR MALIGNO DE PARTE ESPECIFICADA DEL PERITONEO
C482,"TUMOR MALIGNO DEL PERITONEO, SIN OTRA ESPECIFICACIÓN"
C488,LESIÓN DE SITIOS CONTIGUOS DEL PERITONEO Y DEL RETROPERITONEO
C49,TUMOR MALIGNO DE OTROS TEJIDOS CONJUNTIVOS Y DE TEJIDOS BLANDOS
C490,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA CABEZA, CARA Y CUELLO"
C491,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO"
C492,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA"
C493,TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TÓRAX
C494,TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL ABDOMEN
C495,TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA PELVIS
C496,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TRONCO, SIN OTRA ESPECIFICACIÓN"
C498,LESIÓN DE SITIOS CONTIGUOS DEL TEJIDO CONJUNTIVO Y DEL TEJIDO BLANDO
C499,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO, DE SITIO NO ESPECIFICADO"
C50,TUMOR MALIGNO DE LA MAMA
C500,TUMOR MALIGNO DEL PEZÓN Y ARÉOLA MAMARIA
C501,TUMOR MALIGNO DE LA PORCIÓN CENTRAL DE LA MAMA
C502,TUMOR MALIGNO DEL CUADRANTE SUPERIOR INTERNO DE LA MAMA
C503,TUMOR MALIGNO DEL CUADRANTE INFERIOR INTERNO DE LA MAMA
C504,TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA
C505,TUMOR MALIGNO DEL CUADRANTE INFERIOR EXTERNO DE LA MAMA
C506,TUMOR MALIGNO DE LA PROLONGACIÓN AXILAR DE LA MAMA
C508,LESIÓN DE SITIOS CONTIGUOS DE LA MAMA
C509,"TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA"
C51,TUMOR MALIGNO DE LA VULVA
C510,TUMOR MALIGNO DEL LABIO MAYOR
C511,TUMOR MALIGNO DEL LABIO MENOR
C512,TUMOR MALIGNO DEL CLÍTORIS
C518,LESIÓN DE SITIOS CONTIGUOS DE LA VULVA
C519,"TUMOR MALIGNO DE LA VULVA, PARTE NO ESPECIFICADA"
C52X,TUMOR MALIGNO DE LA VAGINA
C53,TUMOR MALIGNO DEL CUELLO DEL ÚTERO
C530,TUMOR MALIGNO DEL ENDOCÉRVIX
C531,TUMOR MALIGNO DEL EXOCÉRVIX
C538,LESIÓN DE SITIOS CONTIGUOS DEL CUELLO DEL ÚTERO
C539,"TUMOR MALIGNO DEL CUELLO DEL ÚTERO, SIN OTRA ESPECIFICACIÓN"
C54,TUMOR MALIGNO DEL CUERPO DEL ÚTERO
C540,TUMOR MALIGNO DEL ISTMO UTERINO
C541,TUMOR MALIGNO DEL ENDOMETRIO
C542,TUMOR MALIGNO DEL MIOMETRIO
C543,TUMOR MALIGNO DEL FONDO DEL ÚTERO
C548,LESIÓN DE SITIOS CONTIGUOS DEL CUERPO DEL ÚTERO
C549,"TUMOR MALIGNO DEL CUERPO DEL ÚTERO, PARTE NO ESPECIFICADA"
C55X,"TUMOR MALIGNO DEL ÚTERO, PARTE NO ESPECIFICADA"
C56X,TUMOR MALIGNO DEL OVARIO
C57,TUMOR MALIGNO DE OTROS ÓRGANOS GENITALES FEMENINOS Y DE LOS NO ESPECIFICADOS
C570,TUMOR MALIGNO DE LA TROMPA DE FALOPIO
C571,TUMOR MALIGNO DEL LIGAMENTO ANCHO
C572,TUMOR MALIGNO DEL LIGAMENTO REDONDO
C573,TUMOR MALIGNO DEL PARAMETRIO
C574,"TUMOR MALIGNO DE LOS ANEXOS UTERINOS, SIN OTRA ESPECIFICACIÓN"
C577,TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DE LOS ÓRGANOS GENITALES FEMENINOS
C578,LESIÓN DE SITIOS CONTIGUOS DE LOS ÓRGANOS GENITALES FEMENINOS
C579,"TUMOR MALIGNO DE ÓRGANO GENITAL FEMENINO, PARTE NO ESPECIFICADA"
C58X,TUMOR MALIGNO DE LA PLACENTA
C60,TUMOR MALIGNO DEL PENE
C600,TUMOR MALIGNO DEL PREPUCIO
C601,TUMOR MALIGNO DEL GLANDE
C602,TUMOR MALIGNO DEL CUERPO DEL PENE
C608,LESIÓN DE SITIOS CONTIGUOS DEL PENE
C609,"TUMOR MALIGNO DEL PENE, PARTE NO ESPECIFICADA"
C61X,TUMOR MALIGNO DE LA PRÓSTATA
C62,TUMOR MALIGNO DEL TESTÍCULO
C620,TUMOR MALIGNO DEL TESTÍCULO NO DESCENDIDO
C621,TUMOR MALIGNO DEL TESTÍCULO DESCENDIDO
C629,"TUMOR MALIGNO DEL TESTÍCULO, NO ESPECIFICADO"
C63,TUMOR MALIGNO DE OTROS ÓRGANOS GENITALES MACULINOS Y DE LOS NO ESPECIFICADOS
C630,TUMOR MALIGNO DEL EPIDÍDIMO
C631,TUMOR MALIGNO DEL CORDÓN ESPERMÁTICO
C632,TUMOR MALIGNO DEL ESCROTO
C637,TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DE LOS ÓRGANOS GENITALES MASCULINOS
C638,LESIÓN DE SITIOS CONTIGUOS DE LOS ÓRGANOS GENITALES MASCULINOS
C639,"TUMOR MALIGNO DE ÓRGANO GENITAL MASCULINO, PARTE NO ESPECIFICADA"
C64X,"TUMOR MALIGNO DEL RIÑÓN, EXCEPTO DE LA PELVIS RENAL"
C65X,TUMOR MALIGNO DE LA PELVIS RENAL
C66X,TUMOR MALIGNO DEL URÉTER
C67,TUMOR MALIGNO DE LA VEJIGA URINARIA
C670,TUMOR MALIGNO DEL TRÍGONO VESICAL
C671,TUMOR MALIGNO DE LA CÚPULA VESICAL
C672,TUMOR MALIGNO DE LA PARED LATERAL DE LA VEJIGA
C673,TUMOR MALIGNO DE LA PARED ANTERIOR DE LA VEJIGA
C674,TUMOR MALIGNO DE LA PARED POSTERIOR DE LA VEJIGA
C675,TUMOR MALIGNO DEL CUELLO DE LA VEJIGA
C676,TUMOR MALIGNO DEL ORIFICIO URETERAL
C677,TUMOR MALIGNO DEL URACO
C678,LESIÓN DE SITIOS CONTIGUOS DE LA VEJIGA
C679,"TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA"
C68,TUMOR MALIGNO DE OTROS ÓGANOS URINARIOS Y DE LOS NO ESPECIFICADOS
C680,TUMOR MALIGNO DE LA URETRA
C681,TUMOR MALIGNO DE LAS GLÁNDULAS PARAURETRALES
C688,LESIÓN DE SITIOS CONTIGUOS DE LOS ÓRGANOS URINARIOS
C689,TUMOR MALIGNO DE ÓRGANO URINARIO NO ESPECIFICADO
C69,TUMOR MALIGNO DEL OJO Y SUS ANEXOS
C690,TUMOR MALIGNO DE LA CONJUNTIVA
C691,TUMOR MALIGNO DE LA CÓRNEA
C692,TUMOR MALIGNO DE LA RETINA
C693,TUMOR MALIGNO DE LA COROIDES
C694,TUMOR MALIGNO DEL CUERPO CILIAR
C695,TUMOR MALIGNO DE LA GLÁNDULA Y CONDUCTO LAGRIMALES
C696,TUMOR MALIGNO DE LA ÓRBITA
C698,LESIÓN DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS
C699,"TUMOR MALIGNO DEL OJO, PARTE NO ESPECIFICADA"
C70,TUMOR MALIGNO DE LAS MENINGES
C700,TUMOR MALIGNO DE LAS MENINGES CEREBRALES
C701,TUMOR MALIGNO DE LAS MENINGES RAQUÍDEAS
C709,"TUMOR MALIGNO DE LAS MENINGES, PARTE NO ESPECIFICADA"
C71,TUMOR MALIGNO DEL ENCÉFALO
C710,"TUMOR MALIGNO DEL CEREBRO, EXCEPTO LÓBULOS Y VENTRÍCULOS"
C711,TUMOR MALIGNO DEL LÓBULO FRONTAL
C712,TUMOR MALIGNO DEL LÓBULO TEMPORAL
C713,TUMOR MALIGNO DEL LÓBULO PARIETAL
C714,TUMOR MALIGNO DEL LÓBULO OCCIPITAL
C715,TUMOR MALIGNO DEL VENTRÍCULO CEREBRAL
C716,TUMOR MALIGNO DEL CEREBELO
C717,TUMOR MALIGNO DEL PEDÚNCULO CEREBRAL
C718,LESIÓN DE SITIOS CONTIGUOS DEL ENCÉFALO
C719,"TUMOR MALIGNO DEL ENCÉFALO, PARTE NO ESPECIFICADA"
C72,"TUMOR MALIGNO DE LA MÉDULA ESPINAL, DE LOS NERVIOS CRANEALES Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL"
C720,TUMOR MALIGNO DE LA MÉDULA ESPINAL
C721,TUMOR MALIGNO DE LA COLA DE CABALLO
C722,TUMOR MALIGNO DEL NERVIO OLFATORIO
C723,TUMOR MALIGNO DEL NERVIO ÓPTICO
C724,TUMOR MALIGNO DEL NERVIO ACÚSTICO
C725,TUMOR MALIGNO DE OTROS NERVIOS CRANEALES Y LOS NO ESPECIFICADOS
C728,LESIÓN DE SITIOS CONTIGUOS DEL ENCÉFALO Y OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL
C729,"TUMOR MALIGNO DEL SISTEMA NERVIOSO CENTRAL, SIN OTRA ESPECIFICACIÓN"
C73X,TUMOR MALIGNO DE LA GLÁNDULA TIROIDES
C74,TUMOR MALIGNO DE LA GLÁNDULA SUPRARRENAL
C740,TUMOR MALIGNO DE LA CORTEZA DE LA GLÁNDULA SUPRARRENAL
C741,TUMOR MALIGNO DE LA MÉDULA DE LA GLÁNDULA SUPRARRENAL
C749,"TUMOR MALIGNO DE LA GLÁNDULA SUPRARRENAL, PARTE NO ESPECIFICADA"
C75,TUMOR MALIGNO DE OTRAS GLÁNDULAS ENDOCRINAS Y DE ESTRUCTURAS AFINES
C750,TUMOR MALIGNO DE LA GLÁNDULA PARATIROIDES
C751,TUMOR MALIGNO DE LA HIPÓFISIS
C752,TUMOR MALIGNO DEL CONDUCTO CRANEOFARÍNGEO
C753,TUMOR MALIGNO DE LA GLÁNDULA PINEAL
C754,TUMOR MALIGNO DEL CUERPO CAROTÍDEO
C755,TUMOR MALIGNO DEL CUERPO AÓRTICO Y OTROS CUERPOS CROMAFINES
C758,"TUMOR MALIGNO PLURIGLANDULAR, NO ESPECIFICADO"
C759,TUMOR MALIGNO DE GLÁNDULA ENDOCRINA NO ESPECIFICADA
C76,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS SITIOS MAL DEFINIDOS
C760,"TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO"
C761,TUMOR MALIGNO DEL TÓRAX
C762,TUMOR MALIGNO DEL ABDOMEN
C763,TUMOR MALIGNO DE LA PELVIS
C764,TUMOR MALIGNO DEL MIEMBRO SUPERIOR
C765,TUMOR MALIGNO DEL MIEMBRO INFERIOR
C767,TUMOR MALIGNO DE OTROS SITIOS MAL DEFINIDOS
C768,LESIÓN DE SITIOS CONTIGUOS MAL DEFINIDOS
C77,TUMOR MALIGNO SECUNDARIO Y EL NO ESPECIFICADO DE LOS GANGLIOS LINFÁTICOS
C770,"TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS DE LA CABEZA, CARA Y CUELLO"
C771,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS INTRATORÁCICOS
C772,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS INTRAABDOMINALES
C773,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS DE LA AXILA Y DEL MIEMBRO SUPERIOR
C774,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS DE LA REGIÓN INGUINAL Y DEL MIEMBRO INFERIOR
C775,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS DE LA PELVIS
C778,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS DE REGIONES MÚLTIPLES
C779,"TUMOR MALIGNO DEL GANGLIO LINFÁTICO, SITIO NO ESPECIFICADO"
C78,TUMOR MALIGNO SECUNDARIO DE LOS ÓRGANOS RESPIRATORIOS Y DIGESTIVOS
C780,TUMOR MALIGNO SECUNDARIO DEL PULMÓN
C781,TUMOR MALIGNO SECUNDARIO DEL MEDIASTINO
C782,TUMOR MALIGNO SECUNDARIO DE LA PLEURA
C783,TUMOR MALIGNO SECUNDARIO DE OTROS ÓRGANOS RESPIRATORIOS Y DE LOS NO ESPECIFICADOS
C784,TUMOR MALIGNO SECUNDARIO DEL INTESTINO DELGADO
C785,TUMOR MALIGNO SECUNDARIO DEL INTESTINO GRUESO Y DEL RECTO
C786,TUMOR MALIGNO SECUNDARIO DEL PERITONEO Y DEL RETROPERITONEO
C787,TUMOR MALIGNO SECUNDARIO DEL HÍGADO Y DE LOS CONDUCTOS BILIARES INTRAHEPÁTICOS
C788,TUMOR MALIGNO SECUNDARIO DE OTROS ÓRGANOS DIGESTIVOS Y DE LOS NO ESPECIFICADOS
C79,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C790,TUMOR MALIGNO SECUNDARIO DEL RIÑÓN Y DE LA PELVIS RENAL
C791,"TUMOR MALIGNO SECUNDARIO DE LA VEJIGA, Y DE OTROS ÓRGANOS Y LOS NO ESPECIFICADOS DE LAS VÍAS URINARIAS"
C792,TUMOR MALIGNO SECUNDARIO DE LA PIEL
C793,TUMOR MALIGNO SECUNDARIO DEL ENCÉFALO Y DE LAS MENINGES CEREBRALES
C794,TUMOR MALIGNO SECUNDARIO DE OTRAS PARTES DEL SISTEMA NERVIOSO Y DE LAS NO ESPECIFICADAS
C795,TUMOR MALIGNO SECUNDARIO DE LOS HUESOS Y DE LA MÉDULA ÓSEA
C796,TUMOR MALIGNO SECUNDARIO DEL OVARIO
C797,TUMOR MALIGNO SECUNDARIO DE LA GLÁNDULA SUPRARRENAL
C798,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS ESPECIFICADOS
C799,"TUMOR MALIGNO SECUNDARIO, SITIO NO ESPECIFICADO"
C80,TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS
C800,"TUMOR MALIGNO, DE SITIO PRIMARIO DESCONOCIDO, ASÍ DESCRITO"
C809,"TUMOR MALIGNO, SITIO PRIMARIO NO ESPECIFICADO"
C80X,TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS
C81,LINFOMA DE HODGKIN
C810,LINFOMA DE HODGKIN CON PREDOMINIO LINFOCÍTICO NODULAR
C811,LINFOMA DE HODGKIN CLÁSICO CON ESCLEROSIS NODULAR
C812,LINFOMA DE HODGKIN CLÁSICO CON CELULARIDAD MIXTA
C813,LINFOMA DE HODGKIN CLÁSICO CON DEPLECIÓN LINFOCÍTICA
C814,LINFOMA DE HODGKIN CLÁSICO RICO EN LINFOCITOS
C817,OTROS LINFOMAS DE HODGKIN CLÁSICOS
C819,"LINFOMA DE HODGKIN, NO ESPECIFICADO"
C82,LINFOMA FOLICULAR
C820,LINFOMA FOLICULAR GRADO I
C821,LINFOMA FOLICULAR GRADO II
C822,LINFOMA FOLICULAR GRADO III NO ESPECIFICADO
C823,LINFOMA FOLICULAR GRADO IIIA
C824,LINFOMA FOLICULAR GRADO IIIB
C825,LINFOMA CENTRO FOLICULAR DIFUSO
C826,LINFOMA CENTRO FOLICULAR CUTÁNEO
C827,OTROS TIPOS ESPECIFICADOS DE LINFOMA FOLICULAR
C829,"LINFOMA FOLICULAR, SIN OTRA ESPECIFICACIÓN"
C83,LINFOMA NO FOLICULAR
C830,LINFOMA DE CÉLULAS B PEQUEÑAS
C831,LINFOMA DE CÉLULAS DEL MANTO
C832,"LINFOMA NO HODGKIN MIXTO, DE CÉLULAS PEQUEÑAS Y GRANDES (DIFUSO)"
C833,LINFOMA DE CÉLULAS GRANDES B DIFUSO
C834,LINFOMA NO HODGKIN INMUNOBLÁSTICO (DIFUSO)
C835,LINFOMA LINFOBLÁSTICO (DIFUSO)
C836,LINFOMA NO HODGKIN INDIFERENCIADO (DIFUSO)
C837,LINFOMA DE BURKITT
C838,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO FOLICULAR
C839,"LINFOMA NO FOLICULAR (DIFUSO), SIN OTRA ESPECIFICACIÓN"
C84,LINFOMA DE CÉLULAS T/NK MADURAS
C840,MICOSIS FUNGOIDE
C841,ENFERMEDAD DE SÉZARY
C842,LINFOMA DE ZONA T
C843,LINFOMA LINFOEPITELIOIDE
C844,"LINFOMA PERIFÉRICO DE CÉLULAS T, NO CLASIFICADO EN OTRA PARTE"
C845,OTROS LINFOMAS DE CÉLULAS T/NK MADURAS
C846,LINFOMA ANAPLÁSICO DE CÉLULAS GRANDES ALK-POSITIVO
C847,LINFOMA ANAPLÁSICO DE CÉLULAS GRANDES ALK-NEGATIVO
C848,"LINFOMA CUTÁNEO DE CÉLULAS T, NO ESPECIFICADO"
C849,"LINFOMA DE CÉLULAS T/NK MADURAS, NO ESPECIFICADO"
C85,LINFOMA NO HODGKIN DE OTRO TIPO Y EL NO ESPECIFICADO
C850,LINFOSARCOMA
C851,"LINFOMA DE CÉLULAS B, SIN OTRA ESPECIFICACIÓN"
C852,LINFOMA MEDIASTINAL DE CÉLULAS B GRANDES (DEL TIMO)
C857,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO HODGKIN
C859,"LINFOMA NO HODGKIN, NO ESPECIFICADO"
C86,OTROS TIPOS ESPECIFICADOS DE LINFOMA DE CÉLULAS T/NK
C860,"LINFOMA EXTRANODAL DE CÉLULAS T/NK, TIPO NASAL"
C861,LINFOMA HEPATOESPLÉNICO DE CÉLULAS T
C862,LINFOMA DE CÉLULAS T TIPO ENTEROPATÍA (INTESTINAL)
C863,LINFOMA DE CÉLULAS T TIPO PANICULITIS SUBCUTÁNEA
C864,LINFOMA BLÁSTICO DE CÉLULAS NK
C865,LINFOMA ANGIOINMUNOBLÁSTICO DE CÉLULAS T
C866,TRASTORNOS LINFOPROLIFERATIVOS PRIMARIO CUTÁNEOS DE CÉLULAS T CD30-POSITIVO
C88,ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS
C880,MACROGLOBULINEMIA DE WALDENSTRÖM
